id,company_name,legal_name,trade_name,address,city,phone,website,email,cor_number,cor_issue_date,cor_expiry_date,cor_type,cor_standard,certifying_body,province,certification_status,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
26,1046731 ALBERTA LTD.,1046731 ALBERTA LTD.,,,,,,,20240923-8831,2024-09-23,2027-09-23,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,08d6794dfd19c9a2fc2b309b7640561b,2026-03-25 11:23:15,2026-03-25 11:23:15,1
27,1049648 ALBERTA LTD.,1049648 ALBERTA LTD.,,,,,,,20241030-SE9007,2024-10-30,2027-10-30,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,c244a244574bb077e28b9c8be64573ae,2026-03-25 11:23:15,2026-03-25 11:23:15,1
28,1051652 ALBERTA LTD.,1051652 ALBERTA LTD.,,,,,,,20231231-SE6067,2023-12-31,2026-12-31,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,6c56b7abc589af220924015dcdea4ffe,2026-03-25 11:23:15,2026-03-25 11:23:15,1
29,1051726 ALBERTA LTD.,1051726 ALBERTA LTD.,,,,,,,20251016-SE3520,2025-10-16,2028-10-16,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,d45fb6385e626e099220a1af749f2227,2026-03-25 11:23:15,2026-03-25 11:23:15,1
30,1058774 ALBERTA LTD.,1058774 ALBERTA LTD.,,,,,,,20231102-4506,2023-11-02,2026-11-02,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,ab82589d7756ddd8324640475f9d0848,2026-03-25 11:23:15,2026-03-25 11:23:15,1
31,1058827 ALBERTA LTD.,1058827 ALBERTA LTD.,,,,,,,20231005-SE4000,2023-10-05,2026-10-05,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,1c406f6a27eab00746cec8ae65727fdd,2026-03-25 11:23:15,2026-03-25 11:23:15,1
32,1061552 ALBERTA LTD.,1061552 ALBERTA LTD.,,,,,,,20230714-3546,2023-07-14,2026-07-14,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,95055443be4f72a5fc592c45691ee195,2026-03-25 11:23:15,2026-03-25 11:23:15,1
33,1069712 ALBERTA LTD.,1069712 ALBERTA LTD.,,,,,,,20251128-4544,2025-11-28,2028-11-28,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,181b439598a48f10f534c1776a506fad,2026-03-25 11:23:15,2026-03-25 11:23:15,1
34,1070539 ALBERTA LTD.,1070539 ALBERTA LTD.,,,,,,,20250131-1124,2025-01-31,2028-01-31,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,59c5283ffc9a2d8b930b0cdaeb2ea8b6,2026-03-25 11:23:15,2026-03-25 11:23:15,1
35,1075860 ALBERTA LTD.,1075860 ALBERTA LTD.,,,,,,,20241002-SE8582,2024-10-02,2027-10-02,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,096fe0a79171046934716ea544b175a2,2026-03-25 11:23:15,2026-03-25 11:23:15,1
36,1075878 ALBERTA LTD.,1075878 ALBERTA LTD.,,,,,,,20250820-SE5463,2025-08-20,2028-08-20,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,64ec6fb6bcb29c239b7a6b65eb956f3e,2026-03-25 11:23:15,2026-03-25 11:23:15,1
37,1076072 ALBERTA LTD.,1076072 ALBERTA LTD.,,,,,,,20250618-2230,2025-06-18,2028-06-18,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,87166c5883643644b65102d62378768d,2026-03-25 11:23:15,2026-03-25 11:23:15,1
